,cold,drought,genotoxic,heat,osmotic,salt,UVB,Wounding
At1g19640,0,1,0,0,0,0,0,1
At1g19650,0,0,0,0,1,1,0,0
At1g19670,0,1,0,0,1,0,0,1
At1g19770,1,0,0,0,0,0,1,1
At1g19940,0,0,0,0,0,0,0,1
At1g19970,0,1,0,0,1,1,1,0
At1g19980,0,0,0,1,0,0,0,0
At1g20030,0,1,0,0,1,1,0,0
At1g20070,0,1,0,1,1,1,1,0
At1g20190,0,1,0,1,0,0,0,0
At1g20300,0,0,0,0,0,0,1,0
At1g20310,0,0,0,0,1,0,1,1
At1g20350,0,0,0,1,0,0,1,1
At1g20440,1,1,0,1,1,1,0,1
At1g20450,1,1,0,0,1,1,1,1
At1g20490,0,1,0,0,1,0,0,1
At1g20510,0,1,0,0,1,0,1,1
At1g20590,0,0,0,0,0,1,0,0
At1g20640,0,0,0,1,0,0,0,0
At1g20823,1,1,0,0,1,0,1,1
At1g20870,0,0,0,0,1,1,0,0
At1g20890,0,0,0,0,0,0,1,0
At1g20900,1,0,0,0,0,0,0,0
At1g21000,0,0,0,0,1,0,0,0
At1g21010,1,0,0,0,0,0,1,1
At1g21050,1,0,0,0,0,0,0,0
At1g21090,0,0,0,0,0,0,0,1
At1g21110,0,0,0,0,1,0,1,0
At1g21120,0,0,0,0,1,0,1,0
At1g21130,0,0,0,0,0,0,1,0
At1g21240,0,0,0,0,1,0,1,0
At1g21250,0,0,0,0,1,0,1,0
At1g21270,0,0,0,0,0,0,1,0
At1g21350,0,0,0,1,0,0,0,0
At1g21370,0,0,0,0,0,0,1,0
At1g21400,0,0,0,0,1,0,0,0
At1g21410,0,0,0,0,1,1,0,0
At1g21460,0,0,0,1,0,0,0,0
At1g21520,0,0,0,0,0,0,1,0
At1g21550,0,0,0,1,1,0,1,1
At1g21580,0,0,0,0,1,0,0,0
At1g21590,0,1,0,0,1,1,0,0
At1g21670,0,0,0,0,1,0,0,0
At1g21740,0,0,0,1,0,0,0,0
At1g21790,0,1,0,0,1,1,0,1
At1g22070,0,0,0,0,1,0,1,0
At1g22110,0,0,0,1,0,0,0,0
At1g22160,0,0,0,0,1,1,0,0
At1g22180,0,0,0,0,1,0,1,1
At1g22190,0,0,0,0,0,0,1,0
At1g22280,0,0,0,0,0,0,1,0
At1g22330,0,0,0,1,0,0,0,0
At1g22370,0,0,1,0,1,0,0,0
At1g22380,0,0,0,1,0,0,0,0
At1g22400,0,0,0,0,0,0,1,0
At1g22510,0,0,0,0,1,0,1,1
At1g22550,0,1,0,0,0,0,0,0
At1g22570,1,0,0,0,0,0,0,1
At1g22640,0,0,0,0,1,0,0,0
At1g22650,0,0,0,0,0,0,1,0
At1g22710,0,0,0,0,0,1,0,0
At1g22770,0,0,0,0,0,0,1,0
At1g22810,0,0,0,0,0,0,1,1
At1g22830,0,0,0,0,0,0,0,1
At1g22885,0,0,0,0,0,0,1,0
At1g22930,0,0,0,0,1,0,0,0
At1g22985,0,0,0,1,0,0,0,0
At1g22990,0,0,0,0,1,1,0,0
At1g23010,0,0,0,0,0,0,1,0
At1g23040,0,0,0,0,1,0,0,0
At1g23080,0,0,0,1,0,0,0,0
At1g23100,0,0,0,0,0,0,1,0
At1g23180,0,0,0,1,0,0,0,0
At1g23200,0,1,0,0,1,1,0,0
At1g23380,0,0,0,0,0,0,0,1
At1g23550,0,0,0,0,0,0,1,0
At1g23700,0,0,0,1,0,0,0,0
At1g23710,1,1,0,0,0,0,1,1
At1g23780,0,0,0,1,0,0,0,0
At1g23800,0,0,0,0,0,0,0,1
At1g23830,0,0,0,0,0,0,1,0
At1g23840,0,0,0,0,1,0,1,0
At1g23850,0,1,0,0,0,0,1,1
At1g24070,0,1,0,0,0,0,0,1
At1g24090,0,0,0,1,0,0,1,0
At1g24100,0,0,0,0,0,0,1,1
At1g24140,0,1,0,0,1,0,1,1
At1g24150,0,0,0,0,0,0,1,0
At1g24260,0,0,0,0,0,0,1,0
At1g24330,0,1,0,0,0,0,0,1
At1g24440,0,0,0,1,0,0,0,0
At1g24470,0,0,0,0,1,1,0,0
At1g24575,0,0,0,0,0,0,0,1
At1g24600,0,0,0,0,1,1,0,0
At1g24625,0,1,0,0,0,0,0,0
At1g24678,0,0,0,0,0,1,0,0
At1g25250,1,0,0,0,0,0,0,1
At1g25370,0,0,0,0,0,0,1,1
At1g25400,1,0,0,0,0,0,1,1
At1g26270,0,0,0,1,0,0,0,0
At1g26380,0,0,0,0,1,0,1,0
At1g26410,0,0,0,0,0,0,1,0
At1g26420,0,0,0,0,1,0,1,0
At1g26440,0,0,0,0,0,0,1,0
At1g26450,0,1,0,0,0,0,0,0
At1g26470,0,0,0,0,0,0,1,0
At1g26600,0,0,0,1,0,0,0,0
At1g26690,0,0,0,1,1,0,0,0
At1g26730,0,0,0,0,0,0,1,1
At1g26770,0,1,0,0,0,0,0,1
At1g26790,1,0,0,0,0,0,0,0
At1g26800,0,0,0,1,0,0,0,0
At1g26970,0,0,0,0,0,0,1,0
At1g27030,0,0,0,0,0,0,0,1
At1g27090,0,0,0,1,0,0,0,0
At1g27130,0,0,0,0,1,0,1,0
At1g27170,0,0,0,1,0,0,0,0
At1g27200,0,1,0,0,1,1,0,0
At1g27390,0,0,0,0,0,0,1,0
At1g27410,0,0,0,1,0,0,0,0
At1g27590,0,0,0,1,0,0,0,0
At1g27650,0,0,0,1,0,0,0,0
At1g27720,0,0,0,0,0,0,1,0
At1g27730,1,0,0,0,0,0,1,1
At1g27760,0,0,0,0,0,0,0,1
At1g27770,1,1,0,0,1,0,1,1
At1g27820,0,0,0,0,0,0,1,1
At1g27910,0,0,0,0,0,0,0,1
At1g27920,0,0,0,0,0,0,0,1
At1g27940,0,0,1,0,0,0,0,0
At1g28050,0,0,0,0,0,0,0,1
At1g28190,0,0,0,0,1,0,1,0
At1g28210,0,0,0,0,0,0,1,0
At1g28280,0,0,0,0,0,0,1,0
At1g28370,1,1,0,0,1,0,1,1
At1g28380,0,0,0,0,0,0,1,1
At1g28480,0,1,0,0,0,0,1,1
At1g28760,0,0,0,1,0,0,0,0
At1g28960,0,0,0,0,1,1,0,0
At1g29110,0,0,0,1,0,0,0,0
At1g29150,0,0,0,1,0,0,0,0
At1g29240,0,0,0,0,1,0,0,0
At1g29260,0,0,0,1,0,0,0,0
At1g29270,0,0,0,0,0,0,0,1
At1g29330,0,1,0,0,1,0,1,1
At1g29340,0,1,0,0,0,0,0,0
At1g29390,0,0,0,0,0,1,0,0
At1g29395,0,1,1,0,1,1,1,1
At1g29400,0,0,0,0,1,0,0,0
At1g29440,0,0,0,1,0,0,0,0
At1g29450,1,0,0,0,0,0,0,0
At1g29460,0,0,0,1,0,0,0,0
At1g29490,0,0,0,1,0,0,0,0
At1g29500,0,0,0,1,0,0,0,0
At1g29570,1,0,0,0,0,0,0,0
At1g29690,1,1,0,0,0,0,1,1
At1g29940,0,0,0,0,0,0,1,0
At1g29980,0,0,0,0,0,0,0,1
At1g30040,0,0,0,0,0,0,1,1
At1g30070,0,0,0,1,0,0,0,0
At1g30135,0,0,0,0,0,0,1,1
At1g30200,0,0,0,1,0,0,0,0
At1g30240,0,0,0,0,0,0,1,0
At1g30260,0,1,0,0,1,1,1,0
At1g30360,0,0,0,0,0,0,0,1
